x,y,S,type
10.0,100.0,1,straight
10.0,10.0,1,straight
0,0,1,transformation
15.0,90.0,1,straight
15.0,60.0,1,straight
0,0,1,transformation
10.0,100.0,1,curved
40.0,84.0,1,curved
40.0,67.0,1,curved
10.0,50.0,1,curved
0,0,1,transformation
15.0,90.0,1,curved
30.0,84.0,1,curved
30.0,67.0,1,curved
15.0,60.0,1,curved
0,0,1,transformation
50.0,10.0,1,straight
70.0,100.0,1,straight
90.0,10.0,1,straight
50.0,10.0,1,straight
0,0,1,transformation
110.0,10.0,1,straight
110.0,100.0,1,straight
150.0,100.0,1,straight
150.0,10.0,1,straight
110.0,10.0,1,straight
